feature,importance
cat__tieude_Chung cư Kim Tâm Hải Trường Chinh Q12,0.0
cat__tieude_Chung cư Kỳ Đồng Q3,0.0
cat__tieude_Chung cư Lakai Nguyễn Tri Phương P8 Q5,0.0
cat__tieude_Chung cư Lakai Nguyễn Tri Phương Q5,0.0
cat__tieude_Chung cư Lê Duẩn Bến Thành Q1,0.0
cat__tieude_Căn hộ 2PN Trần Quang Diệu Quận 3,0.0
cat__tieude_Căn hộ 2PN full nội thất Tân Quy Q7,0.0
cat__tieude_Căn hộ 2PN riêng biệt gần ĐH Bách Khoa Q10,0.0
cat__tieude_Chung cư Nguyễn Trãi Bến Thành Q1,0.0
cat__tieude_Chung cư Nguyễn Trãi P9 Quận 1,0.0
cat__tieude_Chung cư Thái An 4 Nguyễn Văn Quá Q12,0.0
cat__tieude_Chung cư Topaz Home Phan Văn Hớn Q12,0.0
cat__tieude_Chung cư Tân Phước Lý Thường Kiệt Quận 11,0.0
cat__tieude_Cuc pham can ho studio ngay cau Nguyen Van Cu Q8 di chuyen giua cac Q4 Q5 Q1 200m la den,0.0
cat__tieude_Căn 1PN An Khánh,0.0
cat__tieude_Căn 2PN An Dương Vương P3 Q5,0.0
cat__tieude_Căn hộ Phúc Thịnh Quận 5,0.0
cat__tieude_Căn hộ Screc 1PN Q3,0.0
cat__tieude_Căn hộ Screc 3PN 107m2 Q3,0.0
cat__tieude_Căn hộ Screc Trường Sa Quận 3,0.0
cat__tieude_Căn hộ Solari BS 1PN+,0.0
cat__tieude_Căn hộ 1PN 45m2 Q2,0.0
cat__tieude_Căn hộ 1PN Lê Thị Riêng Quận 1,0.0
cat__tieude_Căn hộ 1PN Nguyễn Khoái Q4,0.0
cat__tieude_Căn hộ 1PN ban công Khánh Hội Q4,0.0
cat__tieude_Căn hộ 1PN ban công gần cầu Nguyễn Văn Cừ Q8,0.0
cat__tieude_Căn hộ 1PN chung cư Thái An 2 Q12,0.0
cat__tieude_Căn hộ 1PN mới 100% Tân Phú Q7,0.0
cat__tieude_Căn hộ 1PN+ full nội thất Quận 9,0.0
cat__tieude_Căn hộ 25m2 Cư xá Lữ Gia Q11,0.0
cat__tieude_Căn hộ 2PN 2WC KDC Him Lam Q7,0.0
cat__tieude_Căn hộ ban công tách bếp Trần Quang Khải,0.0
cat__tieude_Căn hộ bancol siêu rộng Hậu Giang Q6,0.0
cat__tieude_Căn hộ cao cấp CMT8 Quận 10,0.0
cat__tieude_Căn hộ cao cấp CMT8 gần CV Lê Thị Riêng,0.0
cat__tieude_Căn hộ cao cấp full nội thất Quận 7,0.0
cat__tieude_Căn hộ cao cấp khu Bình Phú,0.0
cat__tieude_Căn hộ 40m2 full nội thất trung tâm Quận 5,0.0
cat__tieude_Căn hộ C5 Phạm Hùng Quận 8,0.0
cat__tieude_Căn hộ City Gate Võ Văn Kiệt 3PN,0.0
cat__tieude_Căn hộ City Gate nhà trống,0.0
cat__tieude_Căn hộ Felisa P9Q8,0.0
