mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
3.6221075534820555,1.2224602190732248,1.6247618198394775,0.9621748908078382,,0.8,1,2,200,"{'model__max_depth': None, 'model__max_features': 0.8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",-7138193.527789324,-3841189.0466307113,-7043387.107401329,-3973484.8881195555,-5640061.330423334,-5527263.180072851,1425729.619173446,21,-2056064.6341411704,-2213032.725804565,-2032946.3000127047,-2232780.4167390713,-2016985.9057311434,-2110361.996485731,92938.72843844371
6.166550588607788,1.3022899260150038,0.9980951309204101,0.32471968377176846,20,0.8,1,5,200,"{'model__max_depth': 20, 'model__max_features': 0.8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}",-7144727.472802086,-3779650.6726308456,-7131687.42842076,-3968978.155613131,-5612234.7097483985,-5527455.687843044,1461505.3592870054,22,-2365068.2386780274,-2535289.9121293263,-2380239.9459654195,-2576427.102612075,-2351153.914287665,-2441635.8227345026,94613.74314556991
6.01997480392456,1.1876546317564285,2.979669952392578,0.9391957339871831,,0.8,1,5,200,"{'model__max_depth': None, 'model__max_features': 0.8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}",-7176523.015500458,-3768071.799453248,-7078467.477788431,-3992418.7550471257,-5622095.420135539,-5527515.29358496,1455045.5207060727,23,-2223321.899092341,-2421996.73596658,-2239551.9521825556,-2452789.1965462076,-2256096.620314012,-2318751.280820339,97908.82891477791
3.747338962554932,0.5571714594257797,1.113560152053833,0.17764050060751913,20,0.8,1,2,200,"{'model__max_depth': 20, 'model__max_features': 0.8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",-7056290.375010639,-3827788.5345143047,-7103119.926170826,-3982276.91912621,-5671345.395350041,-5528164.2300344035,1422476.7758945005,24,-2220195.86595958,-2346671.1646517515,-2192268.547608602,-2363776.719965661,-2137819.295111094,-2252146.3186593377,88400.38485529885
9.125431060791016,1.4898837802395741,1.4470364093780517,0.35523330689838706,20,0.8,1,2,400,"{'model__max_depth': 20, 'model__max_features': 0.8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 400}",-7094998.672542458,-3855006.753388362,-7107685.418466719,-3961574.653344199,-5671309.331619923,-5538114.9658723315,1429930.881740544,25,-2201473.538406819,-2396646.837033207,-2201590.413355914,-2414512.771685919,-2215806.7415413926,-2286006.06040465,97933.7014598483
7.339905738830566,1.5586663930119293,1.6956886768341064,0.800383688582031,,0.8,1,5,400,"{'model__max_depth': None, 'model__max_features': 0.8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 400}",-7179182.87732848,-3820182.0980236745,-7104634.532241051,-3990213.076751354,-5634023.138761108,-5545647.144621133,1449365.0849699278,26,-2216368.923022041,-2470140.8270008503,-2244827.065359556,-2506344.0265318523,-2333362.3537355238,-2354208.6391299646,116605.4303335857
9.389454030990601,0.6637162923677647,1.5342997550964355,0.1086318551022334,20,0.8,1,5,400,"{'model__max_depth': 20, 'model__max_features': 0.8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 400}",-7165582.259406392,-3810924.8694336633,-7137109.660590006,-3989376.5624967916,-5630725.068102955,-5546743.684005962,1455707.0071780519,27,-2353232.4400203833,-2596240.417296259,-2378465.9757638434,-2617223.6387619986,-2417482.4337165714,-2472528.981111811,111669.78057373501
8.53877296447754,1.437240792501815,2.3221733570098877,1.1040089310463992,,0.8,1,2,400,"{'model__max_depth': None, 'model__max_features': 0.8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 400}",-7168332.296227387,-3881693.549911287,-7056689.833502509,-3972356.309697491,-5661785.031583432,-5548171.4041844215,1426450.0604524626,28,-2051700.1541844348,-2270804.46410994,-2048188.603174171,-2281489.292259,-2100456.8648861973,-2150527.8757227487,104273.39230279597
1.4812653541564942,0.3081554195303662,0.610638427734375,0.22652058647298176,10,0.8,1,2,200,"{'model__max_depth': 10, 'model__max_features': 0.8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",-7082141.891619174,-3972717.4357737037,-7100321.613863451,-4006279.1004120517,-5586085.245232365,-5549509.057380149,1387310.4429437316,29,-2736886.6341710933,-2834704.2045562468,-2640237.434499414,-2836926.5169477295,-2565463.9679514924,-2722843.751625195,107067.30664590468
2.8051203727722167,0.6495029897105351,1.1396975994110108,0.3954664001874798,10,0.8,1,5,200,"{'model__max_depth': 10, 'model__max_features': 0.8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}",-7131936.041710765,-3863555.1190787917,-7166842.031198644,-4062829.3072713516,-5550329.010766694,-5555098.302005249,1426347.9901091345,30,-2844768.4886676674,-2967385.1229800843,-2768680.1765623903,-3000851.0577510973,-2705099.312872373,-2857356.8317667223,113049.71063939782
3.5330402851104736,0.7933246485270159,1.1501954078674317,0.6401033646000712,10,0.8,1,5,400,"{'model__max_depth': 10, 'model__max_features': 0.8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 400}",-7133722.572942249,-3931054.2837606864,-7155425.507073133,-4091548.29636402,-5614311.555729354,-5585212.443173888,1402253.27571057,31,-2827167.1748254574,-3010281.2666206853,-2772449.231170532,-3026784.813615046,-2768554.213646966,-2881047.339975737,114273.48242068199
