tieude,dientich,giavnd,vitri,phanloai,sophong,area_m2,price_vnd,standardized_location,property_type_clean,price_per_m2,price_group,area_group,has_studio,has_balcony,has_mezzanine,has_furniture,has_new,has_window,has_elevator
Phòng trọ full nội thất cách Q1 5 phút,20 m,5000000,Quận 4,PhongTro,1,20.0,5000000.0,Quận 4,Phòng trọ,250000.0,Trung bình (4-8.5 triệu),Nhỏ (<25m²),False,False,False,True,False,False,False
Phòng sinh viên gần ĐH Luật và ĐH Nguyễn Tất Thành,30 m,4700000,Quận 4,PhongTro,1,30.0,4700000.0,Quận 4,Phòng trọ,156666.66666666666,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
KTX trung tâm bao trọn gói,50 m,1500000,Quận 5,PhongTro,1,50.0,1500000.0,Quận 5,Phòng trọ,30000.0,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng trọ lớn trung tâm Quận 5,30 m,3500000,Quận 5,PhongTro,1,30.0,3500000.0,Quận 5,Phòng trọ,116666.66666666667,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Ở ghép Quận 5 gần ĐH Sư Phạm,20 m,700000,Quận 5,PhongTro,1,20.0,700000.0,Quận 5,Phòng trọ,35000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Cho nữ thuê phòng gần cầu Nguyễn Tri Phương,12 m,2200000,Quận 5,PhongTro,1,12.0,2200000.0,Quận 5,Phòng trọ,183333.33333333334,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng trọ sinh viên Nguyễn Văn Cừ,8 m,2600000,Quận 5,PhongTro,1,8.0,2600000.0,Quận 5,Phòng trọ,325000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng Sleepbox An Dương Vương,35 m,1500000,Quận 5,PhongTro,1,35.0,1500000.0,Quận 5,Phòng trọ,42857.142857142855,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Ký túc xá An Dương Vương gần ĐH Sư Phạm,10 m,1500000,Quận 5,PhongTro,1,10.0,1500000.0,Quận 5,Phòng trọ,150000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng trọ sinh viên Nguyễn Văn Cừ full nội thất,10 m,2700000,Quận 5,PhongTro,1,10.0,2700000.0,Quận 5,Phòng trọ,270000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,True,False,False,False
